Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.3537716,-0.07866745,0.0043252814,0.017443562,0.0002990844,0.1996948,0.0009969785,998.05,-0.9990499377250671,-0.9990499377250671,1.0
30000,1.3546723,-0.074557595,0.030195357,0.019917276,0.00029849398,0.19949798,0.00099503,None,None,None,1.0
40000,1.3306865,-0.04232682,0.020791829,0.022802433,0.0002978853,0.1992951,0.0009930215,999.0,1.2500004544854164,1.2500004544854164,1.0
50000,1.2930437,-0.038682077,0.006886734,0.01814229,0.00029729397,0.19909799,0.0009910701,None,None,None,1.0
60000,1.2766865,-0.059580665,0.0052086087,0.018231388,0.0002966853,0.19889511,0.0009890615,999.0,-0.6249998714774847,-0.6249998714774847,1.0
70000,1.3293365,-0.06773508,0.008622958,0.021385552,0.00029609396,0.19869798,0.0009871101,None,None,None,1.0
80000,1.3319287,0.012721246,0.013581039,0.017623791,0.0002954853,0.1984951,0.0009851016,999.0,3.241002559661865e-07,3.241002559661865e-07,1.0
90000,1.333625,0.041869666,0.012755446,0.025920026,0.00029489395,0.19829798,0.0009831501,None,None,None,1.0
100000,1.2895437,0.0021692892,0.013669526,0.017279234,0.00029428533,0.1980951,0.0009811416,999.0,-0.24999954923987389,-0.24999954923987389,1.0
110000,1.2094074,-0.071732834,0.013536046,0.019010885,0.00029369394,0.19789799,0.0009791901,None,None,None,1.0
120000,1.1650965,-0.05353336,0.015090193,0.017598232,0.00029308532,0.1976951,0.0009771816,999.0,0.12500037252902985,0.12500037252902985,1.0
130000,1.043579,0.026275467,0.018997611,0.020585408,0.00029249396,0.19749801,0.00097523007,None,None,None,1.0
140000,1.0232779,0.022972157,0.00979949,0.018163456,0.0002918853,0.19729511,0.00097322155,999.0,-0.2499996516853571,-0.2499996516853571,1.0
150000,0.90630895,0.040781703,0.037413295,0.0199202,0.00029129398,0.19709797,0.0009712701,None,None,None,1.0
160000,0.9549689,-0.07242175,0.012132895,0.019138245,0.0002906853,0.1968951,0.0009692616,999.0,3.855675458908081e-07,3.855675458908081e-07,1.0
